Code,Type,Definition
O219,ICD-10-CM,"Vomiting of pregnancy, unspecified"
O2200,ICD-10-CM,"Varicose veins of lower extremity in pregnancy, unspecified trimester"
O2201,ICD-10-CM,"Varicose veins of lower extremity in pregnancy, first trimester"
O2202,ICD-10-CM,"Varicose veins of lower extremity in pregnancy, second trimester"
O2203,ICD-10-CM,"Varicose veins of lower extremity in pregnancy, third trimester"
O2210,ICD-10-CM,"Genital varices in pregnancy, unspecified trimester"
O2211,ICD-10-CM,"Genital varices in pregnancy, first trimester"
O2212,ICD-10-CM,"Genital varices in pregnancy, second trimester"
O2213,ICD-10-CM,"Genital varices in pregnancy, third trimester"
O2220,ICD-10-CM,"Superficial thrombophlebitis in pregnancy, unspecified trimester"
O2221,ICD-10-CM,"Superficial thrombophlebitis in pregnancy, first trimester"
O2222,ICD-10-CM,"Superficial thrombophlebitis in pregnancy, second trimester"
O2223,ICD-10-CM,"Superficial thrombophlebitis in pregnancy, third trimester"
O2230,ICD-10-CM,"Deep phlebothrombosis in pregnancy, unspecified trimester"
O2231,ICD-10-CM,"Deep phlebothrombosis in pregnancy, first trimester"
O2232,ICD-10-CM,"Deep phlebothrombosis in pregnancy, second trimester"
O2233,ICD-10-CM,"Deep phlebothrombosis in pregnancy, third trimester"
O2240,ICD-10-CM,"Hemorrhoids in pregnancy, unspecified trimester"
O2241,ICD-10-CM,"Hemorrhoids in pregnancy, first trimester"
O2242,ICD-10-CM,"Hemorrhoids in pregnancy, second trimester"
O2243,ICD-10-CM,"Hemorrhoids in pregnancy, third trimester"
O2250,ICD-10-CM,"Cerebral venous thrombosis in pregnancy, unspecified trimester"
O2251,ICD-10-CM,"Cerebral venous thrombosis in pregnancy, first trimester"
O2252,ICD-10-CM,"Cerebral venous thrombosis in pregnancy, second trimester"
O2253,ICD-10-CM,"Cerebral venous thrombosis in pregnancy, third trimester"
O228X1,ICD-10-CM,"Other venous complications in pregnancy, first trimester"
O228X2,ICD-10-CM,"Other venous complications in pregnancy, second trimester"
O228X3,ICD-10-CM,"Other venous complications in pregnancy, third trimester"
O228X9,ICD-10-CM,"Other venous complications in pregnancy, unspecified trimester"
O2290,ICD-10-CM,"Venous complication in pregnancy, unspecified, unspecified trimester"
O2291,ICD-10-CM,"Venous complication in pregnancy, unspecified, first trimester"
O2292,ICD-10-CM,"Venous complication in pregnancy, unspecified, second trimester"
O2293,ICD-10-CM,"Venous complication in pregnancy, unspecified, third trimester"
O2300,ICD-10-CM,"Infections of kidney in pregnancy, unspecified trimester"
O2301,ICD-10-CM,"Infections of kidney in pregnancy, first trimester"
O2302,ICD-10-CM,"Infections of kidney in pregnancy, second trimester"
O2303,ICD-10-CM,"Infections of kidney in pregnancy, third trimester"
O2310,ICD-10-CM,"Infections of bladder in pregnancy, unspecified trimester"
O2311,ICD-10-CM,"Infections of bladder in pregnancy, first trimester"
O2312,ICD-10-CM,"Infections of bladder in pregnancy, second trimester"
O2313,ICD-10-CM,"Infections of bladder in pregnancy, third trimester"
O2320,ICD-10-CM,"Infections of urethra in pregnancy, unspecified trimester"
O2321,ICD-10-CM,"Infections of urethra in pregnancy, first trimester"
O2322,ICD-10-CM,"Infections of urethra in pregnancy, second trimester"
O2323,ICD-10-CM,"Infections of urethra in pregnancy, third trimester"
O2330,ICD-10-CM,"Infections of other parts of urinary tract in pregnancy, unspecified trimester"
O2331,ICD-10-CM,"Infections of other parts of urinary tract in pregnancy, first trimester"
O2332,ICD-10-CM,"Infections of other parts of urinary tract in pregnancy, second trimester"
O2333,ICD-10-CM,"Infections of other parts of urinary tract in pregnancy, third trimester"
O2340,ICD-10-CM,"Unspecified infection of urinary tract in pregnancy, unspecified trimester"
O2341,ICD-10-CM,"Unspecified infection of urinary tract in pregnancy, first trimester"
O2342,ICD-10-CM,"Unspecified infection of urinary tract in pregnancy, second trimester"
O2343,ICD-10-CM,"Unspecified infection of urinary tract in pregnancy, third trimester"
O23511,ICD-10-CM,"Infections of cervix in pregnancy, first trimester"
O23512,ICD-10-CM,"Infections of cervix in pregnancy, second trimester"
O23513,ICD-10-CM,"Infections of cervix in pregnancy, third trimester"
O23519,ICD-10-CM,"Infections of cervix in pregnancy, unspecified trimester"
O23521,ICD-10-CM,"Salpingo-oophoritis in pregnancy, first trimester"
O23522,ICD-10-CM,"Salpingo-oophoritis in pregnancy, second trimester"
O23523,ICD-10-CM,"Salpingo-oophoritis in pregnancy, third trimester"
O23529,ICD-10-CM,"Salpingo-oophoritis in pregnancy, unspecified trimester"
O23591,ICD-10-CM,"Infection of other part of genital tract in pregnancy, first trimester"
O23592,ICD-10-CM,"Infection of other part of genital tract in pregnancy, second trimester"
O23593,ICD-10-CM,"Infection of other part of genital tract in pregnancy, third trimester"
O23599,ICD-10-CM,"Infection of other part of genital tract in pregnancy, unspecified trimester"
O2390,ICD-10-CM,"Unspecified genitourinary tract infection in pregnancy, unspecified trimester"
O2391,ICD-10-CM,"Unspecified genitourinary tract infection in pregnancy, first trimester"
O2392,ICD-10-CM,"Unspecified genitourinary tract infection in pregnancy, second trimester"
O2393,ICD-10-CM,"Unspecified genitourinary tract infection in pregnancy, third trimester"
O24011,ICD-10-CM,"Pre-existing type 1 diabetes mellitus, in pregnancy, first trimester"
O24012,ICD-10-CM,"Pre-existing type 1 diabetes mellitus, in pregnancy, second trimester"
O24013,ICD-10-CM,"Pre-existing type 1 diabetes mellitus, in pregnancy, third trimester"
O24019,ICD-10-CM,"Pre-existing type 1 diabetes mellitus, in pregnancy, unspecified trimester"
O2402,ICD-10-CM,"Pre-existing type 1 diabetes mellitus, in childbirth"
O2403,ICD-10-CM,"Pre-existing type 1 diabetes mellitus, in the puerperium"
O24111,ICD-10-CM,"Pre-existing type 2 diabetes mellitus, in pregnancy, first trimester"
O24112,ICD-10-CM,"Pre-existing type 2 diabetes mellitus, in pregnancy, second trimester"
O24113,ICD-10-CM,"Pre-existing type 2 diabetes mellitus, in pregnancy, third trimester"
O24119,ICD-10-CM,"Pre-existing type 2 diabetes mellitus, in pregnancy, unspecified trimester"
O2412,ICD-10-CM,"Pre-existing type 2 diabetes mellitus, in childbirth"
O2413,ICD-10-CM,"Pre-existing type 2 diabetes mellitus, in the puerperium"
O24311,ICD-10-CM,"Unspecified pre-existing diabetes mellitus in pregnancy, first trimester"
O24312,ICD-10-CM,"Unspecified pre-existing diabetes mellitus in pregnancy, second trimester"
O24313,ICD-10-CM,"Unspecified pre-existing diabetes mellitus in pregnancy, third trimester"
O24319,ICD-10-CM,"Unspecified pre-existing diabetes mellitus in pregnancy, unspecified trimester"
O2432,ICD-10-CM,Unspecified pre-existing diabetes mellitus in childbirth
O2433,ICD-10-CM,Unspecified pre-existing diabetes mellitus in the puerperium
O24410,ICD-10-CM,"Gestational diabetes mellitus in pregnancy, diet controlled"
O24414,ICD-10-CM,"Gestational diabetes mellitus in pregnancy, insulin controlled"
O24415,ICD-10-CM,"Gestational diabetes mellitus in pregnancy, controlled by oral hypoglycemic drugs"
O24419,ICD-10-CM,"Gestational diabetes mellitus in pregnancy, unspecified control"
O24420,ICD-10-CM,"Gestational diabetes mellitus in childbirth, diet controlled"
O24424,ICD-10-CM,"Gestational diabetes mellitus in childbirth, insulin controlled"
O24425,ICD-10-CM,"Gestational diabetes mellitus in childbirth, controlled by oral hypoglycemic drugs"
O24429,ICD-10-CM,"Gestational diabetes mellitus in childbirth, unspecified control"
O24430,ICD-10-CM,"Gestational diabetes mellitus in the puerperium, diet controlled"
O24434,ICD-10-CM,"Gestational diabetes mellitus in the puerperium, insulin controlled"
O24435,ICD-10-CM,"Gestational diabetes mellitus in puerperium, controlled by oral hypoglycemic drugs"
O24439,ICD-10-CM,"Gestational diabetes mellitus in the puerperium, unspecified control"
O24811,ICD-10-CM,"Other pre-existing diabetes mellitus in pregnancy, first trimester"
O24812,ICD-10-CM,"Other pre-existing diabetes mellitus in pregnancy, second trimester"
O24813,ICD-10-CM,"Other pre-existing diabetes mellitus in pregnancy, third trimester"
O24819,ICD-10-CM,"Other pre-existing diabetes mellitus in pregnancy, unspecified trimester"
O2482,ICD-10-CM,Other pre-existing diabetes mellitus in childbirth
O2483,ICD-10-CM,Other pre-existing diabetes mellitus in the puerperium
O24911,ICD-10-CM,"Unspecified diabetes mellitus in pregnancy, first trimester"
O24912,ICD-10-CM,"Unspecified diabetes mellitus in pregnancy, second trimester"
O24913,ICD-10-CM,"Unspecified diabetes mellitus in pregnancy, third trimester"
O24919,ICD-10-CM,"Unspecified diabetes mellitus in pregnancy, unspecified trimester"
O2492,ICD-10-CM,Unspecified diabetes mellitus in childbirth
O2493,ICD-10-CM,Unspecified diabetes mellitus in the puerperium
O2510,ICD-10-CM,"Malnutrition in pregnancy, unspecified trimester"
O2511,ICD-10-CM,"Malnutrition in pregnancy, first trimester"
O2512,ICD-10-CM,"Malnutrition in pregnancy, second trimester"
O2513,ICD-10-CM,"Malnutrition in pregnancy, third trimester"
O252,ICD-10-CM,Malnutrition in childbirth
O253,ICD-10-CM,Malnutrition in the puerperium
O2600,ICD-10-CM,"Excessive weight gain in pregnancy, unspecified trimester"
O2601,ICD-10-CM,"Excessive weight gain in pregnancy, first trimester"
O2602,ICD-10-CM,"Excessive weight gain in pregnancy, second trimester"
O2603,ICD-10-CM,"Excessive weight gain in pregnancy, third trimester"
O2610,ICD-10-CM,"Low weight gain in pregnancy, unspecified trimester"
O2611,ICD-10-CM,"Low weight gain in pregnancy, first trimester"
O2612,ICD-10-CM,"Low weight gain in pregnancy, second trimester"
O2613,ICD-10-CM,"Low weight gain in pregnancy, third trimester"
O2620,ICD-10-CM,"Pregnancy care for patient with recurrent pregnancy loss, unspecified trimester"
O2621,ICD-10-CM,"Pregnancy care for patient with recurrent pregnancy loss, first trimester"
O2622,ICD-10-CM,"Pregnancy care for patient with recurrent pregnancy loss, second trimester"
O2623,ICD-10-CM,"Pregnancy care for patient with recurrent pregnancy loss, third trimester"
O2630,ICD-10-CM,"Retained intrauterine contraceptive device in pregnancy, unspecified trimester"
O2631,ICD-10-CM,"Retained intrauterine contraceptive device in pregnancy, first trimester"
O2632,ICD-10-CM,"Retained intrauterine contraceptive device in pregnancy, second trimester"
O2633,ICD-10-CM,"Retained intrauterine contraceptive device in pregnancy, third trimester"
O2640,ICD-10-CM,"Herpes gestationis, unspecified trimester"
O2641,ICD-10-CM,"Herpes gestationis, first trimester"
O2642,ICD-10-CM,"Herpes gestationis, second trimester"
O2643,ICD-10-CM,"Herpes gestationis, third trimester"
O2650,ICD-10-CM,"Maternal hypotension syndrome, unspecified trimester"
O2651,ICD-10-CM,"Maternal hypotension syndrome, first trimester"
O2652,ICD-10-CM,"Maternal hypotension syndrome, second trimester"
O2653,ICD-10-CM,"Maternal hypotension syndrome, third trimester"
O26611,ICD-10-CM,"Liver and biliary tract disorders in pregnancy, first trimester"
O26612,ICD-10-CM,"Liver and biliary tract disorders in pregnancy, second trimester"
O26613,ICD-10-CM,"Liver and biliary tract disorders in pregnancy, third trimester"
O26619,ICD-10-CM,"Liver and biliary tract disorders in pregnancy, unspecified trimester"
O2662,ICD-10-CM,Liver and biliary tract disorders in childbirth
O2663,ICD-10-CM,Liver and biliary tract disorders in the puerperium
O26711,ICD-10-CM,"Subluxation of symphysis (pubis) in pregnancy, first trimester"
O26712,ICD-10-CM,"Subluxation of symphysis (pubis) in pregnancy, second trimester"
O26713,ICD-10-CM,"Subluxation of symphysis (pubis) in pregnancy, third trimester"
O26719,ICD-10-CM,"Subluxation of symphysis (pubis) in pregnancy, unspecified trimester"
O2672,ICD-10-CM,Subluxation of symphysis (pubis) in childbirth
O2673,ICD-10-CM,Subluxation of symphysis (pubis) in the puerperium
O26811,ICD-10-CM,"Pregnancy related exhaustion and fatigue, first trimester"
O26812,ICD-10-CM,"Pregnancy related exhaustion and fatigue, second trimester"
O26813,ICD-10-CM,"Pregnancy related exhaustion and fatigue, third trimester"
O26819,ICD-10-CM,"Pregnancy related exhaustion and fatigue, unspecified trimester"
O26821,ICD-10-CM,"Pregnancy related peripheral neuritis, first trimester"
O26822,ICD-10-CM,"Pregnancy related peripheral neuritis, second trimester"
O26823,ICD-10-CM,"Pregnancy related peripheral neuritis, third trimester"
O26829,ICD-10-CM,"Pregnancy related peripheral neuritis, unspecified trimester"
O26831,ICD-10-CM,"Pregnancy related renal disease, first trimester"
O26832,ICD-10-CM,"Pregnancy related renal disease, second trimester"
O26833,ICD-10-CM,"Pregnancy related renal disease, third trimester"
O26839,ICD-10-CM,"Pregnancy related renal disease, unspecified trimester"
O26841,ICD-10-CM,"Uterine size-date discrepancy, first trimester"
O26842,ICD-10-CM,"Uterine size-date discrepancy, second trimester"
